Data_Hora,IdTweet,Tweet,Candidato,tweet_limpo
2022-07-30 22:06:08+00:00,1553502229717557250,"""BOLSONARISTAS FORAM HUMILHADOS PELO PRÓPRIO JAIR BOLSONARO"" | Cortes 247 https://t.co/Fo3stVG3jk via @YouTube",Bolsonaro,"""bolsonaristas foram humilhados pelo próprio jair bolsonaro"" | cortes 247  via "
2022-07-30 22:06:08+00:00,1553502227725271040,@kujovs NENA tinhw 1 menina d minha sala q tinha camiseta bandeira mascara tudo d bolsonaro vo t conta,Bolsonaro, nena tinhw 1 menina d minha sala q tinha camiseta bandeira mascara tudo d bolsonaro vo t conta
2022-07-30 22:06:07+00:00,1553502223476305920,@CarlaZambelli38 @jairbolsonaro @tarcisiogdf https://t.co/t6ibRhoYDq,Bolsonaro,   
2022-07-30 22:06:06+00:00,1553502218199908354,"@William29827603 @LulaOficial @dilmabr Em 1955 Zé Dantas e Gonzagão compuseram a música Riacho do Navio. Naquele mesmo ano nascia @jairbolsonaro 
Em 2022 Bolsonaro atualizou a letra da música.
Riacho do Navio
Corre pro Pajeú
O rio Pajeú vai despejar
No São Francisco
O rio São Francisco
Vai bater no ""Ceará""",Bolsonaro,"   em 1955 zé dantas e gonzagão compuseram a música riacho do navio. naquele mesmo ano nascia  em 2022 bolsonaro atualizou a letra da música.riacho do naviocorre pro pajeúo rio pajeú vai despejarno são franciscoo rio são franciscovai bater no ""ceará"""
2022-07-30 22:06:05+00:00,1553502216228585472,"79% dos brasileiros dizem confiar nas urnas, aponta pesquisa Datafolha
Apenas 20% dos entrevistados disseram que não confiam na urna eletrônica e a maior desconfiança vem de eleitores de Jair Bolsonaro
https://t.co/oxFHVg3kIQ",Bolsonaro,"79% dos brasileiros dizem confiar nas urnas, aponta pesquisa datafolhaapenas 20% dos entrevistados disseram que não confiam na urna eletrônica e a maior desconfiança vem de eleitores de jair bolsonaro"
2022-07-30 22:06:04+00:00,1553502212336353280,"@joicehasselmann @jairbolsonaro Que alegria sinto quando vejo a rejeitada Joice espumar sua raiva contra o nosso querido presidente Bolsonaro , #BolsonaroReeleitoNoPrimeiroTurno",Bolsonaro,"  que alegria sinto quando vejo a rejeitada joice espumar sua raiva contra o nosso querido presidente bolsonaro , "
2022-07-30 22:06:04+00:00,1553502210792820738,@SidBiroliro22 Bolsonaro 22!!! Te seguindo já,Bolsonaro, bolsonaro 22!!! te seguindo já
2022-07-30 22:06:03+00:00,1553502208355962881,"@FlavioBolsonaro @jairbolsonaro Deve ser o efeito Collor!
Tá na hora tá na hora, tá na hora de vazar, quem quiser vazar Kgente, pode vir que ainda dá. https://t.co/54DWpliwB1",Bolsonaro,"  deve ser o efeito collor!tá na hora tá na hora, tá na hora de vazar, quem quiser vazar kgente, pode vir que ainda dá. "
2022-07-30 22:06:01+00:00,1553502199476617218,DAvila diz que Bolsonaro e Lula não têm 'caráter' e são 'incompetentes'. Veja mais em:  - https://t.co/lYPURkz2ih,Bolsonaro,davila diz que bolsonaro e lula não têm 'caráter' e são 'incompetentes'. veja mais em:  - 
2022-07-30 22:06:00+00:00,1553502195672309761,"@EdneiaScanto @MarcioM61326104 @adinaelsilva @Alexandre30k @ManesAlexandre @Nuu0204 @Valdirene4971 @Melkpsobrinho @BergMartins14 @CameloJubeni @vanice_a @nefertiti2022 @BetoBrasilRJ @RE_BOLSONARO SEGUINDO A TODOS 
SEGUE DE VOLTA 🇧🇷 💚 🇧🇷",Bolsonaro,              seguindo a todos segue de volta 🇧🇷 💚 🇧🇷
2022-07-30 22:05:59+00:00,1553502192375676928,@flferronato Sendo otimista bate os 600 mil hj. Se tivessemos outros influentes compartilhando 700 mil hj. Se o @jairbolsonaro compartilhar bate a meta.,Bolsonaro, sendo otimista bate os 600 mil hj. se tivessemos outros influentes compartilhando 700 mil hj. se o  compartilhar bate a meta.
2022-07-30 22:05:59+00:00,1553502189510922242,"@thaispsic Alguém pode informar para Miriam Leitoa da Rede Grobo que o  Bolsonaro, mais uma vez esta dando prejuízo ao Brasil. 🤣🤣🤣",Bolsonaro," alguém pode informar para miriam leitoa da rede grobo que o  bolsonaro, mais uma vez esta dando prejuízo ao brasil. 🤣🤣🤣"
2022-07-30 22:05:59+00:00,1553502188554653702,"""É Bolsonaro"" #CapitaoNoPrimeiroTurno https://t.co/YENk4FGkRP",Bolsonaro,"""é bolsonaro""  "
2022-07-30 22:05:58+00:00,1553502185111027713,@oolhoesquerdo @eveeevicente @anedeamsterda @Allbertrs1 @julianapaes Me poupe!!! Eu não voto no Bolsonaro mas conheço pessoas do bem que votaram esperando que ele fizesse algo de bom. Vocês são doentes kkkkkkkkkkkk,Bolsonaro,     me poupe!!! eu não voto no bolsonaro mas conheço pessoas do bem que votaram esperando que ele fizesse algo de bom. vocês são doentes kkkkkkkkkkkk
2022-07-30 22:05:58+00:00,1553502184305729537,"@WesleyAHS11s @LulaOficial @dilmabr Em 1955 Zé Dantas e Gonzagão compuseram a música Riacho do Navio. Naquele mesmo ano nascia @jairbolsonaro 
Em 2022 Bolsonaro atualizou a letra da música.
Riacho do Navio
Corre pro Pajeú
O rio Pajeú vai despejar
No São Francisco
O rio São Francisco
Vai bater no ""Ceará""",Bolsonaro,"   em 1955 zé dantas e gonzagão compuseram a música riacho do navio. naquele mesmo ano nascia  em 2022 bolsonaro atualizou a letra da música.riacho do naviocorre pro pajeúo rio pajeú vai despejarno são franciscoo rio são franciscovai bater no ""ceará"""
2022-07-30 22:05:57+00:00,1553502183425015808,@Claudio03165029 @ThiagoResiste Quanta injustiça e inverdades em relação aos pastores. Silogismo puro! Condena Bolsonaro e admite Lula no páreo: entendimento obscurecido.,Bolsonaro,  quanta injustiça e inverdades em relação aos pastores. silogismo puro! condena bolsonaro e admite lula no páreo: entendimento obscurecido.
2022-07-30 22:05:56+00:00,1553502179696197642,"@romanelli_lins @LuisDerieul Temos novidades:
Livro revela incômodo de ex-cunhado com caixas de dinheiro vivo na casa de Bolsonaro na Barra da Tijuca, no Rio de Janeiro 

https://t.co/ocCPedhPD0",Bolsonaro,"  temos novidades:livro revela incômodo de ex-cunhado com caixas de dinheiro vivo na casa de bolsonaro na barra da tijuca, no rio de janeiro "
